agent,group,model,Unnamed: 0,id,r2_DB,r2_VS,r2_SG,r2_AS,fit,lambda,beta,tau,par
1,19,SG,31440,31,0.2302112056168338,0.22437550420667052,0.24781753046045915,0.23625582634899864,309.11642104533263,1.2137825635205561,0.006737946999085468,0.0709559750745394,18.999999999999996
3,23,AS,22560,32,0.39302715385362447,0.3840284898924693,0.3963943400881032,0.41122489946275087,336.501256666538,1.5970405355486514,0.08571830850957331,0.07740690329824151,
3,23,DB,22560,32,0.39302715385362447,0.3840284898924693,0.3963943400881032,0.41122489946275087,338.8927506170209,1.6034588451910776,0.08375803898654796,0.07895004902741148,0.21428570000000002
3,23,VS,22560,32,0.39302715385362447,0.3840284898924693,0.3963943400881032,0.41122489946275087,350.92611124945506,1.6858366971246814,0.012246968136159003,0.10219290324162773,0.116
3,23,SG,22560,32,0.39302715385362447,0.3840284898924693,0.3963943400881032,0.41122489946275087,337.7770809435199,1.567354404502367,0.07734019387199852,0.0788934655716001,18.999999999999996
2,23,AS,26640,33,0.25550827088640404,0.2481305720188806,0.2585785862459773,0.25170211224768274,397.9336958012254,0.8265189241588831,0.32944510509448144,0.05620806430394715,
2,23,DB,26640,33,0.25550827088640404,0.2481305720188806,0.2585785862459773,0.25170211224768274,396.2387335069616,0.8633902493891349,0.3267447924732413,0.057270018462860506,0.2329622765747396
2,23,VS,26640,33,0.25550827088640404,0.2481305720188806,0.2585785862459773,0.25170211224768274,399.5771245902181,1.0672739301210794,0.26469705008976124,0.078873382541571,0.116
2,23,SG,26640,33,0.25550827088640404,0.2481305720188806,0.2585785862459773,0.25170211224768274,394.00178993753576,0.6684662322644637,0.36639516313810905,0.04209820354558639,7.630477276994455
4,23,AS,28800,34,0.36291271274188175,0.33876318411811246,0.36504293104159186,0.3673658853754846,360.4509775796281,1.3803457254978555,0.1870051492444125,0.06897393460980485,
4,23,DB,28800,34,0.36291271274188175,0.33876318411811246,0.36504293104159186,0.3673658853754846,363.7492446142148,1.4032185887408684,0.17889594688636218,0.07183243284594087,0.21428570000000002
4,23,VS,28800,34,0.36291271274188175,0.33876318411811246,0.36504293104159186,0.3673658853754846,376.483357656357,1.8072790353430894,0.009691999121164818,0.11793190774476629,0.116
4,23,SG,28800,34,0.36291271274188175,0.33876318411811246,0.36504293104159186,0.3673658853754846,362.1540251073638,1.384540243886885,0.17839404831728817,0.0708164345620293,18.999999999999996
1,23,AS,29520,35,0.3184610181889972,0.29394505387087,0.32154617270134267,0.3246628261156618,316.2479107916027,1.4355135100481917,0.1261012198330882,0.05992238516006893,
1,23,DB,29520,35,0.3184610181889972,0.29394505387087,0.32154617270134267,0.3246628261156618,326.0224393420661,1.4551171381454455,0.12671797664907883,0.06167384245112527,0.21648493541111025
1,23,VS,29520,35,0.3184610181889972,0.29394505387087,0.32154617270134267,0.3246628261156618,330.855878587432,1.6839710359520688,0.0069667093384093584,0.09256170237751093,0.116
1,23,SG,29520,35,0.3184610181889972,0.29394505387087,0.32154617270134267,0.3246628261156618,324.2138275123055,1.192146660736974,0.16665423268250634,0.05281137718628356,17.416557981239578
4,25,AS,11520,36,0.29620331570835373,0.29541111226025807,0.3000522216046585,0.3001966526787942,397.6913968773324,1.049867143359589,0.31727726440504456,0.06569356387470045,
4,25,DB,11520,36,0.29620331570835373,0.29541111226025807,0.3000522216046585,0.3001966526787942,404.2112644046794,0.9317293249814999,0.35541012138167355,0.060797024048030585,0.21428570000000002
4,25,VS,11520,36,0.29620331570835373,0.29541111226025807,0.3000522216046585,0.3001966526787942,406.6768807756139,1.4560595955039237,0.18144520879678905,0.08941123624228198,0.116
4,25,SG,11520,36,0.29620331570835373,0.29541111226025807,0.3000522216046585,0.3001966526787942,399.7185287867808,1.0282238936511319,0.3172679022291121,0.06614406608548362,18.999999999999996
3,25,AS,18720,37,0.2446725203156354,0.20519463928478687,0.2124810908348494,0.2613159132241893,402.1589595745861,1.2092765983295777,0.2524805876237932,0.05840080414519846,
3,25,DB,18720,37,0.2446725203156354,0.20519463928478687,0.2124810908348494,0.2613159132241893,403.1179783061807,1.211569837878962,0.2534763529165617,0.06013791058166236,0.21428570000000002
3,25,VS,18720,37,0.2446725203156354,0.20519463928478687,0.2124810908348494,0.2613159132241893,398.5524994607065,2.1368753238085527,0.006765534588243798,0.10469598337388752,0.116
3,25,SG,18720,37,0.2446725203156354,0.20519463928478687,0.2124810908348494,0.2613159132241893,407.07440505065887,1.318814373317228,0.21587959298668158,0.06560168147625875,18.999999999999996
1,25,AS,21600,38,0.24301408703184102,0.2513281382487604,0.23523474589250426,0.2448905148031542,372.4853646360451,1.0452492771158999,0.24824048788552755,0.05975763701090707,
